GEOID,cover
41005020800,0.15732546705998032
41005020900,0.31833910034602075
41005021e3,0.2688634192932187
41005021601,0.1648568608094768
41005022201,0.15503875968992248
41005022206,0.36073237241916634
41005022208,0.3793103448275862
41051000100,0.24072575985207442
41051000200,0.2062755798090041
41051000301,0.2888383981823346
41051000302,0.419474881124664
41051000401,0.2728606356968215
41051000402,0.23878116343490305
41051000501,0.1959378733572282
41051000502,0.2090469916556873
41051000601,0.17988204456094364
41051000602,0.16071428571428573
41051000701,0.23227611940298507
41051000702,0.20585412667946257
41051000801,0.22636710470538363
41051000802,0.2319309600862999
41051000901,0.2976531196336577
41051000902,0.23658051689860835
41051001e3,0.172797036252977
41051001101,0.057971014492753624
41051001102,0.13686708860759494
41051001201,0.29766536964980544
41051001202,0.3073301950235373
41051001301,0.2517321016166282
41051001302,0.25965250965250963
41051001400,0.24265208475734792
41051001500,0.3245341614906832
41051001601,0.3542802180185957
41051001602,0.18668012108980828
41051005700,0
41051005900,0.010238907849829351
41051006300,0.5075239398084815
41051008201,0.16476602438065277
41051008202,0.26865671641791045
41051008301,0.16355334163553342
41051008302,0.31093427645151783
41051008400,0.23154362416107382
41051008500,0.23841961852861035
41051008600,0.1729362591431557
41051008700,0.24161585365853658
41051008800,0.23632567849686847
41051008901,0.4334038054968288
41051008902,0.31491344873502
