fips,Census Tract,Total Population,Population Density (Per Sq. Mile),"Area (Land, in Sq. Miles)",Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,% Population: Less than High School,% Population: High School Graduate,% Population: Some College,% Population: Bachelor's Degree,% Population: Master's Degree,% Population: Professional School,% Population: Doctorate Degree,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Median Family Income,% Households: No Earnings,% Households: with Wage or Salary Income,% Households: with Self-Employment Income,"% Households: with Interest, Dividends, or Net Rental Income",% Households: with Social Security Income,% Households: with Supplemental Security Income (Ssi),% Households: with Public Assistance Income,% Households: with Retirement Income,% Households: with Other Types of Income,Per Capita Income (In 2016 Inflation Adjusted Dollars),Gini Index,% Occupied Housing Units: Owner Occupied,Median Gross Rent,"% Households: Less than $40,000","% Households: $40,000 to $75,000","% Households: $75,000 to $125,000","% Households: $125,000 and Over",% Workers with Less than 20 Minute Commute,% Workers with 20 to 40 Minute Commute,% Workers with Over 40 Minute Commute,% Workers with No Commute
41051001102,Census Tract 11.02,1640,5119.201,0.320362488165968,1362,20,42,152,0,14,50,83.05,1.22,2.56,9.27,0,0.85,3.05,0,143,281,492,170,63,37,0,12.06,23.69,41.48,14.33,5.31,3.12,6.76,69453,11.69,84.11,23.39,40.48,17.09,0,2.25,9.75,19.49,37700,0.4804,47.98,1045,35.55,21.29,21.740000000000002,21.45,50.3,27.6,11.2,10.9
41051001201,Census Tract 12.01,5131,14326.43,0.35814914972579,4630,64,25,134,0,140,138,90.24,1.25,0.49,2.61,0,2.73,2.69,35,273,1428,1790,484,196,85,0.82,6.36,33.28,41.72,11.28,4.57,1.98,4.08,45427,8.37,86.7,26.8,22.77,10.33,0.78,1.6,9,8.69,33740,0.469,14.98,997,44.06,25.93,23.32,6.6899999999999995,41.86,37.71,13.62,6.81
41051001202,Census Tract 12.02,3521,9763.557,0.360626767382706,3076,14,2,253,0,59,117,87.36,0.4,0.06,7.19,0,1.68,3.32,57,239,496,1126,501,175,125,2.1,8.79,18.24,41.41,18.43,6.44,4.6,4.72,78125,14.29,82.53,14.81,40.97,21.3,1.43,1.75,17.08,11.49,49136,0.4533,60.71,1100,24.67,24.54,20.33,30.46,38.03,36.58,15.67,9.72
41051001301,Census Tract 13.01,3950,13733.79,0.287611757274551,3420,33,3,160,0,43,291,86.58,0.84,0.08,4.05,0,1.09,7.37,62,250,716,1217,643,152,50,2.01,8.09,23.17,39.39,20.81,4.92,1.62,2.89,63208,9.13,84.61,20.95,36.78,11.49,3.79,2.25,6.54,6.21,41990,0.4544,39.58,1070,31.879999999999995,23.2,21.5,23.42,33.89,40.59,12.53,12.99
41051001302,Census Tract 13.02,3240,11070.71,0.29266429033648,2890,13,0,91,18,79,149,89.2,0.4,0,2.81,0.56,2.44,4.6,38,207,606,853,410,200,85,1.58,8.63,25.26,35.56,17.09,8.34,3.54,4.32,86288,7.79,85.98,25.93,33.64,12.54,0,3.5,12.54,6.93,41986,0.3712,69.16,1339,16.35,24.689999999999998,29.67,29.28,27.93,47.61,8.14,16.33
41051001400,Census Tract 14,5420,11548.63,0.469319548970883,4568,235,56,287,0,26,248,84.28,4.34,1.03,5.3,0,0.48,4.58,109,345,934,1552,961,228,118,2.57,8.12,21.99,36.54,22.63,5.37,2.78,7.21,75777,16.46,81.14,18.19,39.27,18.35,1.39,4.41,14.07,13.31,41576,0.4323,56.24,1114,27.47,21.46,27.93,23.14,20.24,48.66,19.729999999999997,11.36
41051001500,Census Tract 15,3441,9085.667,0.378728395652798,3234,5,30,80,0,17,75,93.98,0.15,0.87,2.32,0,0.49,2.18,28,246,509,897,463,298,104,1.1,9.67,20,35.25,18.19,11.71,4.09,5.14,87991,13.78,83.61,22.04,40.61,17.04,0,2.54,16.97,10.3,50170,0.4528,73.46,1112,18.93,23.78,23.42,33.870000000000005,24.72,50.78,14.68,9.82
41051001601,Census Tract 16.01,5787,5227.567,1.10701593984219,4964,38,35,460,6,127,157,85.78,0.66,0.6,7.95,0.1,2.19,2.71,288,572,1283,1222,962,144,25,6.41,12.72,28.54,27.18,21.4,3.2,0.56,5.6,67125,22.37,73.66,17.89,37.92,35.74,1.15,1.82,22.25,13.84,45189,0.499,68.15,989,30.7,24.55,22.689999999999998,22.05,33.55,38.17,17.48,10.8
41051001602,Census Tract 16.02,4589,7133.095,0.643339274158799,3145,328,28,733,91,24,240,68.53,7.15,0.61,15.97,1.98,0.52,5.23,574,873,1285,655,171,60,25,15.76,23.96,35.27,17.98,4.69,1.65,0.69,11.43,46184,17.92,79.06,15.6,16.07,25.17,10.38,4.52,17.98,13.34,22225,0.4126,66.13,1138,41.06,33.459999999999994,18.39,7.069999999999999,33.21,40.42,22.71,3.65
41051001701,Census Tract 17.01,7438,9513.357,0.781848024006289,5548,289,104,694,241,58,504,74.59,3.89,1.4,9.33,3.24,0.78,6.78,211,1e3,1676,1919,580,39,37,3.86,18.31,30.68,35.13,10.62,0.71,0.68,7.01,62500,9.25,90.4,22.44,32.39,18.51,7.6,2.87,14.61,12.22,30355,0.3801,58.36,968,23.31,41.68000000000001,22.55,12.459999999999999,25.65,51.519999999999996,20.36,2.48
41051001702,Census Tract 17.02,4463,8529.933,0.523216323782195,3138,232,141,534,7,135,276,70.31,5.2,3.16,11.97,0.16,3.02,6.18,238,636,1144,799,291,19,9,7.59,20.28,36.48,25.48,9.28,0.61,0.29,15.66,49574,13.95,85.48,10.17,22.84,20.86,8,6.08,13.44,17.4,23421,0.3854,52.34,1133,38.120000000000005,30.46,22.72,8.700000000000001,31.29,52.8,11.02,4.89
41051001801,Census Tract 18.01,4440,9838.536,0.451286646887939,3765,86,114,267,0,41,167,84.8,1.94,2.57,6.01,0,0.92,3.76,207,648,1149,1030,325,97,132,5.77,18.06,32.02,28.71,9.06,2.7,3.68,11.42,55423,21.51,75.36,13.38,16.6,25.36,4.57,6.21,8.61,14.05,30222,0.4227,45.09,847,38.7,33.3,20.11,7.89,37.629999999999995,45.75,13.200000000000001,3.42
