qualifying_name,fips,census_tract,total_population,population_density,area,white,black,am_indian,asian,pac_isl,other_race,two_more_races,below_hs,hs_degree,some_college,bachelors_degree,masters_degree,professional_school_degree,doctorate_degree,unemployment_rate,hhs_less_10k,hhs_10k_14999,hhs_15k_19999,hhs_20k_24999,hhs_25k_29999,hhs_30k_34999,hhs_35k_39999,hhs_40k_44999,hhs_45k_49999,hhs_50k_59999,hhs_60k_74999,hhs_75k_99999,hhs_100k_124999,hhs_125k_149999,hhs_150k_199999,hhs_200k_more,med_family_income,med_nonfamily_income,hhs_with_no_earnings,hhs_capital_income,hhs_social_security,hhs_ssi,hhs_public_assistance_income,hhs_retirement_income,renter_occupied_units,owner_occupied_units,10_less_commute,% Workers 16 Years and Over: Did Not Work At Home,Workers 16 Years and Over: Worked At Home_1,Workers 16 Years and Over: Did Not Work At Home: 90 or More Minutes,Workers 16 Years and Over: Did Not Work At Home: 60 to 89 Minutes,Workers 16 Years and Over: Did Not Work At Home: 40 to 59 Minutes,Workers 16 Years and Over: Did Not Work At Home: 30 to 39 Minutes,Workers 16 Years and Over: Did Not Work At Home: 20 to 29 Minutes,Workers 16 Years and Over: Did Not Work At Home: 10 to 19 Minutes,Workers 16 Years and Over: Did Not Work At Home: Less than 10 Minutes,Workers 16 Years and Over: Did Not Work At Home,Workers 16 Years and Over:_1,no_commute
"Block Group 2, Census Tract 52, Multnomah County, Oregon",410510052002,5200,763,8011.647,0.0952363485853989,82.31,14.29,0,0,0,0,3.41,1.95,8.28,39.29,37.18,8.12,0,5.19,8.84,21.6,4.78,5.86,8.95,11.27,6.48,21.91,1.85,3.86,0,7.1,0,6.33,0,0,0,28333,28333,20.37,2.47,6.79,4.32,5.86,0,93.67,6.33,9.69,97.49,14,14,15,82,42,128,208,54,543,557,2.51
"Block Group 3, Census Tract 52, Multnomah County, Oregon",410510052003,5200,1080,56117.71,0.019245262912415,85.46,1.48,0,11.94,0,0,1.11,3.43,7.79,32.61,36.76,14.64,0,4.78,0,14.23,10.14,4.61,5.4,5.4,4.08,4.61,0,6.59,0,18.58,15.28,4.74,3.16,0,3.16,46917,NA,27.14,25.69,19.5,7.91,4.08,8.7,88.8,11.2,20.98,84.67,103,0,31,15,54,147,181,141,569,672,15.33
"Block Group 4, Census Tract 52, Multnomah County, Oregon",410510052004,5200,1612,17525.7,0.0919791906371767,83.37,2.92,0,6.82,0,0,6.89,0,6.89,19.04,34.07,23.19,5.56,11.26,8.39,9.01,2.32,2.32,7.4,5.53,3.12,4.01,1.25,6.69,9.01,15.61,15.25,3.93,7.58,2.59,4.37,59330,50530,20.61,33.01,20.07,0,2.14,7.85,79.93,20.07,4.67,83.52,187,65,71,106,128,307,218,53,948,1135,16.48
"Block Group 1, Census Tract 55, Multnomah County, Oregon",410510055001,5500,1344,13431.28,0.100064942385833,77.01,8.11,0,10.19,0,1.56,3.12,7.17,12.96,25.93,26.45,13.57,10.46,3.46,9.89,23.8,17.69,11.46,3.93,0,1.64,7.1,2.51,2.73,3.38,1.31,6.99,7.21,2.4,4.59,3.28,18650,14891,39.41,19,36.68,18.34,2.84,3.28,77.29,22.71,3.71,96.14,25,0,37,70,41,194,256,24,622,647,3.86
"Block Group 2, Census Tract 55, Multnomah County, Oregon",410510055002,5500,1415,31907.23,0.0443473097172651,63.18,0.64,0,25.87,0,0.78,9.54,1.44,11.91,26.18,38.87,18.06,3.53,0,17.3,36.97,6.58,5.39,6.32,7.5,5.66,7.63,3.29,1.18,0.92,6.18,4.21,5,0,0,3.16,20526,14512,25.92,10.26,11.05,5.66,3.16,4.08,89.34,10.66,2.58,96.13,30,10,38,49,105,147,376,20,745,775,3.87
"Block Group 1, Census Tract 56, Multnomah County, Oregon",410510056001,5600,1404,60302.2,0.0232827333562935,83.48,0,0,11.4,0,0,5.13,5.42,5.02,25.36,36.76,21.53,0,5.9,14.34,22.95,12.19,7.12,2.4,12.01,6.58,2.4,2.76,2.94,4.54,6.49,8.45,5.96,0.98,0,2.22,26948,25925,41.99,16.1,27.49,12.1,5.6,12.01,89.06,10.94,11.21,93.01,48,0,28,53,46,114,321,77,639,687,6.99
"Block Group 2, Census Tract 56, Multnomah County, Oregon",410510056002,5600,1001,17946.81,0.055775934096992,67.03,1.7,0,21.08,0,2.4,7.79,13.33,0,51.59,4.93,30.14,0,0,13.56,8.65,19.72,0,32.18,0,5.54,18.34,0,0,10.03,5.54,0,0,0,0,0,23378,22580,14.53,14.53,5.88,5.88,0,5.88,100,0,33.99,96.04,22,0,36,27,65,65,152,189,534,556,3.96
"Block Group 3, Census Tract 56, Multnomah County, Oregon",410510056003,5600,2124,27920.01,0.0760744837427818,66.81,8.15,0.52,8.99,3.53,3.01,8.99,0,5.39,42.46,23.71,25,3.45,0,27.61,29.41,7.47,14.48,0,2.94,10.18,3.39,6.11,0,23.76,2.26,0,0,0,0,0,NA,NA,21.72,2.49,3.85,0,7.69,0,100,0,29.99,95.99,36,0,23,65,124,174,206,269,861,897,4.01
"Block Group 4, Census Tract 56, Multnomah County, Oregon",410510056004,5600,980,28103.73,0.0348708179342916,80.82,0,1.53,15.61,0,2.04,0,0.8,3.86,26.48,39.2,14.89,7.05,7.73,10.41,10.74,3.33,10.44,3.33,1.97,10.44,2.12,0,2.12,2.42,10.29,17.4,11.2,0,10.89,3.33,65592,NA,19.67,35.1,24.96,2.27,1.82,8.47,81.24,18.76,24.27,92.82,42,0,0,34,27,168,172,142,543,585,7.18
"Block Group 1, Census Tract 57, Multnomah County, Oregon",410510057001,5700,806,3139.587,0.256721652764414,80.27,2.48,2.61,1.74,0,6.58,6.33,4.01,2.82,15.13,35.16,29.67,8.01,5.19,3.66,6.12,3.06,2.68,6.69,0,16.83,5.93,5.93,4.4,4.02,0,8.6,13.38,2.87,12.24,7.27,46576,36089,34.23,44.55,37.67,0,3.25,27.15,51.43,48.57,9.87,94.18,23,0,0,68,66,55,144,39,372,395,5.82
"Block Group 2, Census Tract 57, Multnomah County, Oregon",410510057002,5700,2421,26521.45,0.0912845928243683,71.83,2.81,0.45,8.84,0,3.68,12.39,2.07,10.31,24.61,41.98,17.38,0.9,2.75,10.89,5.83,1.55,4.21,7.01,5.46,3.47,4.13,3.03,5.83,18.6,13.73,7.9,8.19,2.58,1.55,6.94,56209,53404,11.51,30.41,11.66,0,2.73,8.63,82.8,17.2,21.73,88.97,167,16,53,60,120,358,411,329,1347,1514,11.03
"Block Group 3, Census Tract 57, Multnomah County, Oregon",410510057003,5700,845,7909.46,0.106834085717772,85.68,0,0,10.41,0,2.37,1.54,3.29,6.7,16.56,31.8,22.6,16.03,3.02,10.87,5.59,0,2.7,0,2.89,0,4.05,6.17,2.5,6.94,13.29,22.74,12.14,12.14,2.89,5.97,96020,87417,10.6,45.86,21.97,0,0,7.51,63.58,36.42,11.09,100,0,0,0,22,75,176,208,60,541,541,0
"Block Group 1, Census Tract 58, Multnomah County, Oregon",410510058001,5800,974,4582.259,0.212558899886795,84.5,5.24,0,3.39,0,4.83,2.05,0,2.4,13.49,39.93,18.67,11.28,14.23,21.19,17.5,0,10.14,8.95,0,5.17,0,6.56,1.99,2.98,0,0,18.49,0,5.96,22.27,NA,21641,42.35,44.14,31.41,3.58,2.98,27.24,51.69,48.31,20.99,100,0,0,17,0,93,72,153,89,424,424,0
"Block Group 2, Census Tract 58, Multnomah County, Oregon",410510058002,5800,1266,2552.99,0.495889170142873,86.18,2.92,0.08,7.74,0.08,0,3,2.02,8.37,10.88,29.36,25.22,15.88,8.28,3.88,10.52,3.41,6.67,1.33,5.63,4.3,1.93,3.56,0,3.85,6.81,8.59,12.44,8.15,10.52,12.3,84750,40313,34.22,42.37,34.81,0,4.59,24.89,45.33,54.67,19.83,99.33,4,0,0,24,72,135,242,118,591,595,0.67
"Block Group 3, Census Tract 58, Multnomah County, Oregon",410510058003,5800,555,4169.512,0.133109110930244,49.73,0,0,43.96,0,0,6.31,0,0,15.4,32.07,28.69,17.09,6.75,0,14.03,0,0,0,3.88,5.37,14.33,6.27,4.48,9.25,0,23.88,5.07,0,5.37,8.06,52944,36823,9.85,29.25,9.25,0,5.07,6.27,86.57,13.43,14.58,100,0,18,0,0,18,137,114,49,336,336,0
"Block Group 4, Census Tract 58, Multnomah County, Oregon",410510058004,5800,1398,3774.312,0.370398627329547,84.33,5.87,0,7.22,0,0,2.58,0,3.42,17.77,34.08,21.09,15.72,7.91,7.04,5.59,0,0,0,0,0,8.18,0,0,0,0,8.98,20.56,7.98,9.78,38.92,149458,118281,12.18,65.07,20.16,2.59,2.59,15.17,16.37,83.63,14.39,90,66,17,0,45,13,240,184,95,594,660,10
"Block Group 5, Census Tract 58, Multnomah County, Oregon",410510058005,5800,811,3173.674,0.255539794006768,100,0,0,0,0,0,0,0,2.04,9.26,44.27,6.75,26.84,10.83,14.86,5.29,5.01,0,0,0,6.13,4.46,0,0,0,7.24,11.98,2.79,4.74,13.37,39,168563,NA,13.37,49.58,16.43,0,0,16.99,0,100,0,95.83,16,0,0,21,29,73,245,0,368,384,4.17
"Block Group 1, Census Tract 59, Multnomah County, Oregon",410510059001,5900,3683,7985.585,0.461205997865627,84.39,1.9,0,9.39,0.54,0.52,3.26,1.99,4.73,18.61,36.04,21.2,13.85,3.58,3.87,11.27,2.83,0.51,1.29,3.04,3.26,1.11,2.06,5.19,4.76,9.39,14.19,10.72,5.66,9.82,14.92,86151,63088,29.92,48.31,31.72,2.01,0,14.92,61.08,38.92,10.94,93.56,126,26,74,128,163,640,586,214,1831,1957,6.44
"Block Group 2, Census Tract 59, Multnomah County, Oregon",410510059002,5900,955,6454.087,0.147968253134764,91.83,0,0,0,0,0.73,7.43,0,9.43,24.34,42.36,11.93,8.23,3.7,13.77,3.5,0,3.97,0,0,0,0,14.49,3.97,7.71,9.58,8.18,19.63,4.21,17.29,7.48,89167,66563,5.61,27.1,12.85,0,8.64,20.56,56.78,43.22,1.27,91.47,47,50,52,18,124,140,113,7,504,551,8.53
