OBJECTID,FIPS,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,sumOverCount,cent_x,cent_y,dist,long,lat,order,piece,group,COUNTYFP,TRACTCE,AFFGEOID,NAME,LSAD,Census Tract,Total Population,Population Density (Per Sq. Mile),"Area (Land, in Sq. Miles)",Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,% Population: Less than High School,% Population: High School Graduate,% Population: Some College,% Population: Bachelor's Degree,% Population: Master's Degree,% Population: Professional School,% Population: Doctorate Degree,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Median Family Income,% Households: No Earnings,% Households: with Wage or Salary Income,% Households: with Self-Employment Income,"% Households: with Interest, Dividends, or Net Rental Income",% Households: with Social Security Income,% Households: with Supplemental Security Income (Ssi),% Households: with Public Assistance Income,% Households: with Retirement Income,% Households: with Other Types of Income,Per Capita Income (In 2016 Inflation Adjusted Dollars),Gini Index,% Occupied Housing Units: Owner Occupied,Median Gross Rent,"% Households: Less than $40,000","% Households: $40,000 to $75,000","% Households: $75,000 to $125,000","% Households: $125,000 and Over",% Workers with Less than 20 Minute Commute,% Workers with 20 to 40 Minute Commute,% Workers with Over 40 Minute Commute,% Workers with No Commute,percent_water
1,41051001202,1,1116890,10052010,0,1,1,0.705389071439443,0.455867666470483,787842,2,1,0,1,0.29461092856055704,-122.64221034730384,45.50845584790015,0.02645027021299467,-122.649425,45.504836999999995,11,1,629.1,051,001202,1400000US41051001202,12.02,CT,Census Tract 12.02,3521,9763.557,0.360626767382706,3076,14,2,253,0,59,117,87.36,0.4,0.06,7.19,0,1.68,3.32,57,239,496,1126,501,175,125,2.1,8.79,18.24,41.41,18.43,6.44,4.6,4.72,78125,14.29,82.53,14.81,40.97,21.3,1.43,1.75,17.08,11.49,49136,0.4533,60.71,1100,24.67,24.54,20.33,30.46,38.03,36.58,15.67,9.72,0
1,41051001202,1,1116890,10052010,0,1,1,0.705389071439443,0.455867666470483,787842,2,1,0,1,0.29461092856055704,-122.64221034730384,45.50845584790015,0.02645027021299467,-122.649931,45.508626,12,1,629.1,051,001202,1400000US41051001202,12.02,CT,Census Tract 12.02,3521,9763.557,0.360626767382706,3076,14,2,253,0,59,117,87.36,0.4,0.06,7.19,0,1.68,3.32,57,239,496,1126,501,175,125,2.1,8.79,18.24,41.41,18.43,6.44,4.6,4.72,78125,14.29,82.53,14.81,40.97,21.3,1.43,1.75,17.08,11.49,49136,0.4533,60.71,1100,24.67,24.54,20.33,30.46,38.03,36.58,15.67,9.72,0
2,41051001301,2,890748,8016732,0,1,1,0.725481280900996,0.446271433057558,646221,2,1,0,1,0.27451871909900405,-122.62885631059231,45.51567748530854,0.03171614775058716,-122.634826,45.519310999999995,1,1,112.1,051,001301,1400000US41051001301,13.01,CT,Census Tract 13.01,3950,13733.79,0.287611757274551,3420,33,3,160,0,43,291,86.58,0.84,0.08,4.05,0,1.09,7.37,62,250,716,1217,643,152,50,2.01,8.09,23.17,39.39,20.81,4.92,1.62,2.89,63208,9.13,84.61,20.95,36.78,11.49,3.79,2.25,6.54,6.21,41990,0.4544,39.58,1070,31.879999999999995,23.2,21.5,23.42,33.89,40.59,12.53,12.99,0
2,41051001301,2,890748,8016732,0,1,1,0.725481280900996,0.446271433057558,646221,2,1,0,1,0.27451871909900405,-122.62885631059231,45.51567748530854,0.03171614775058716,-122.63093,45.519306,2,1,112.1,051,001301,1400000US41051001301,13.01,CT,Census Tract 13.01,3950,13733.79,0.287611757274551,3420,33,3,160,0,43,291,86.58,0.84,0.08,4.05,0,1.09,7.37,62,250,716,1217,643,152,50,2.01,8.09,23.17,39.39,20.81,4.92,1.62,2.89,63208,9.13,84.61,20.95,36.78,11.49,3.79,2.25,6.54,6.21,41990,0.4544,39.58,1070,31.879999999999995,23.2,21.5,23.42,33.89,40.59,12.53,12.99,0
2,41051001301,2,890748,8016732,0,1,1,0.725481280900996,0.446271433057558,646221,2,1,0,1,0.27451871909900405,-122.62885631059231,45.51567748530854,0.03171614775058716,-122.628343,45.519321999999995,3,1,112.1,051,001301,1400000US41051001301,13.01,CT,Census Tract 13.01,3950,13733.79,0.287611757274551,3420,33,3,160,0,43,291,86.58,0.84,0.08,4.05,0,1.09,7.37,62,250,716,1217,643,152,50,2.01,8.09,23.17,39.39,20.81,4.92,1.62,2.89,63208,9.13,84.61,20.95,36.78,11.49,3.79,2.25,6.54,6.21,41990,0.4544,39.58,1070,31.879999999999995,23.2,21.5,23.42,33.89,40.59,12.53,12.99,0
2,41051001301,2,890748,8016732,0,1,1,0.725481280900996,0.446271433057558,646221,2,1,0,1,0.27451871909900405,-122.62885631059231,45.51567748530854,0.03171614775058716,-122.623007,45.519293,4,1,112.1,051,001301,1400000US41051001301,13.01,CT,Census Tract 13.01,3950,13733.79,0.287611757274551,3420,33,3,160,0,43,291,86.58,0.84,0.08,4.05,0,1.09,7.37,62,250,716,1217,643,152,50,2.01,8.09,23.17,39.39,20.81,4.92,1.62,2.89,63208,9.13,84.61,20.95,36.78,11.49,3.79,2.25,6.54,6.21,41990,0.4544,39.58,1070,31.879999999999995,23.2,21.5,23.42,33.89,40.59,12.53,12.99,0
2,41051001301,2,890748,8016732,0,1,1,0.725481280900996,0.446271433057558,646221,2,1,0,1,0.27451871909900405,-122.62885631059231,45.51567748530854,0.03171614775058716,-122.62293199999999,45.515789999999996,5,1,112.1,051,001301,1400000US41051001301,13.01,CT,Census Tract 13.01,3950,13733.79,0.287611757274551,3420,33,3,160,0,43,291,86.58,0.84,0.08,4.05,0,1.09,7.37,62,250,716,1217,643,152,50,2.01,8.09,23.17,39.39,20.81,4.92,1.62,2.89,63208,9.13,84.61,20.95,36.78,11.49,3.79,2.25,6.54,6.21,41990,0.4544,39.58,1070,31.879999999999995,23.2,21.5,23.42,33.89,40.59,12.53,12.99,0
2,41051001301,2,890748,8016732,0,1,1,0.725481280900996,0.446271433057558,646221,2,1,0,1,0.27451871909900405,-122.62885631059231,45.51567748530854,0.03171614775058716,-122.62290899999999,45.514303999999996,6,1,112.1,051,001301,1400000US41051001301,13.01,CT,Census Tract 13.01,3950,13733.79,0.287611757274551,3420,33,3,160,0,43,291,86.58,0.84,0.08,4.05,0,1.09,7.37,62,250,716,1217,643,152,50,2.01,8.09,23.17,39.39,20.81,4.92,1.62,2.89,63208,9.13,84.61,20.95,36.78,11.49,3.79,2.25,6.54,6.21,41990,0.4544,39.58,1070,31.879999999999995,23.2,21.5,23.42,33.89,40.59,12.53,12.99,0
2,41051001301,2,890748,8016732,0,1,1,0.725481280900996,0.446271433057558,646221,2,1,0,1,0.27451871909900405,-122.62885631059231,45.51567748530854,0.03171614775058716,-122.622824,45.512043,7,1,112.1,051,001301,1400000US41051001301,13.01,CT,Census Tract 13.01,3950,13733.79,0.287611757274551,3420,33,3,160,0,43,291,86.58,0.84,0.08,4.05,0,1.09,7.37,62,250,716,1217,643,152,50,2.01,8.09,23.17,39.39,20.81,4.92,1.62,2.89,63208,9.13,84.61,20.95,36.78,11.49,3.79,2.25,6.54,6.21,41990,0.4544,39.58,1070,31.879999999999995,23.2,21.5,23.42,33.89,40.59,12.53,12.99,0
2,41051001301,2,890748,8016732,0,1,1,0.725481280900996,0.446271433057558,646221,2,1,0,1,0.27451871909900405,-122.62885631059231,45.51567748530854,0.03171614775058716,-122.62821,45.512057999999996,8,1,112.1,051,001301,1400000US41051001301,13.01,CT,Census Tract 13.01,3950,13733.79,0.287611757274551,3420,33,3,160,0,43,291,86.58,0.84,0.08,4.05,0,1.09,7.37,62,250,716,1217,643,152,50,2.01,8.09,23.17,39.39,20.81,4.92,1.62,2.89,63208,9.13,84.61,20.95,36.78,11.49,3.79,2.25,6.54,6.21,41990,0.4544,39.58,1070,31.879999999999995,23.2,21.5,23.42,33.89,40.59,12.53,12.99,0
