GEOID,cover,cent_x,cent_y,long,lat,order,piece,group,COUNTYFP,TRACTCE,AFFGEOID,NAME,LSAD,Census Tract,Total Population,Population Density (Per Sq. Mile),"Area (Land, in Sq. Miles)",Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,% Population: Less than High School,% Population: High School Graduate,% Population: Some College,% Population: Bachelor's Degree,% Population: Master's Degree,% Population: Professional School,% Population: Doctorate Degree,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Median Family Income,% Households: No Earnings,% Households: with Wage or Salary Income,% Households: with Self-Employment Income,"% Households: with Interest, Dividends, or Net Rental Income",% Households: with Social Security Income,% Households: with Supplemental Security Income (Ssi),% Households: with Public Assistance Income,% Households: with Retirement Income,% Households: with Other Types of Income,Per Capita Income (In 2016 Inflation Adjusted Dollars),Gini Index,% Occupied Housing Units: Owner Occupied,Median Gross Rent,"% Households: Less than $40,000","% Households: $40,000 to $75,000","% Households: $75,000 to $125,000","% Households: $125,000 and Over",% Workers with Less than 20 Minute Commute,% Workers with 20 to 40 Minute Commute,% Workers with Over 40 Minute Commute,% Workers with No Commute,percent_water
41051000100,0.24072575985207442,-122.65856847747887,45.4769211552161,-122.66530399999999,45.461977999999995,25,1,206.1,051,000100,1400000US41051000100,1,CT,Census Tract 1,6293,4590.163,1.37097546397898,5687,0,99,142,17,108,240,90.37,0,1.57,2.26,0.27,1.72,3.81,41,509,1533,1385,963,325,117,0.84,10.45,31.46,28.42,19.76,6.67,2.4,4.77,73393,19.12,74.4,22.04,36.8,24.75,2.29,0.99,14.08,7.68,45524,0.4422,57.18,1090,24.12,26.2,22.36,27.33,21.79,52.870000000000005,14,11.35,0.39505159458689576
41051000100,0.24072575985207442,-122.65856847747887,45.4769211552161,-122.666484,45.464334,26,1,206.1,051,000100,1400000US41051000100,1,CT,Census Tract 1,6293,4590.163,1.37097546397898,5687,0,99,142,17,108,240,90.37,0,1.57,2.26,0.27,1.72,3.81,41,509,1533,1385,963,325,117,0.84,10.45,31.46,28.42,19.76,6.67,2.4,4.77,73393,19.12,74.4,22.04,36.8,24.75,2.29,0.99,14.08,7.68,45524,0.4422,57.18,1090,24.12,26.2,22.36,27.33,21.79,52.870000000000005,14,11.35,0.39505159458689576
41051000100,0.24072575985207442,-122.65856847747887,45.4769211552161,-122.666484,45.465163,27,1,206.1,051,000100,1400000US41051000100,1,CT,Census Tract 1,6293,4590.163,1.37097546397898,5687,0,99,142,17,108,240,90.37,0,1.57,2.26,0.27,1.72,3.81,41,509,1533,1385,963,325,117,0.84,10.45,31.46,28.42,19.76,6.67,2.4,4.77,73393,19.12,74.4,22.04,36.8,24.75,2.29,0.99,14.08,7.68,45524,0.4422,57.18,1090,24.12,26.2,22.36,27.33,21.79,52.870000000000005,14,11.35,0.39505159458689576
41051000100,0.24072575985207442,-122.65856847747887,45.4769211552161,-122.667554,45.474782999999995,28,1,206.1,051,000100,1400000US41051000100,1,CT,Census Tract 1,6293,4590.163,1.37097546397898,5687,0,99,142,17,108,240,90.37,0,1.57,2.26,0.27,1.72,3.81,41,509,1533,1385,963,325,117,0.84,10.45,31.46,28.42,19.76,6.67,2.4,4.77,73393,19.12,74.4,22.04,36.8,24.75,2.29,0.99,14.08,7.68,45524,0.4422,57.18,1090,24.12,26.2,22.36,27.33,21.79,52.870000000000005,14,11.35,0.39505159458689576
41051000100,0.24072575985207442,-122.65856847747887,45.4769211552161,-122.668329,45.479386,29,1,206.1,051,000100,1400000US41051000100,1,CT,Census Tract 1,6293,4590.163,1.37097546397898,5687,0,99,142,17,108,240,90.37,0,1.57,2.26,0.27,1.72,3.81,41,509,1533,1385,963,325,117,0.84,10.45,31.46,28.42,19.76,6.67,2.4,4.77,73393,19.12,74.4,22.04,36.8,24.75,2.29,0.99,14.08,7.68,45524,0.4422,57.18,1090,24.12,26.2,22.36,27.33,21.79,52.870000000000005,14,11.35,0.39505159458689576
41051000100,0.24072575985207442,-122.65856847747887,45.4769211552161,-122.669145,45.484237,30,1,206.1,051,000100,1400000US41051000100,1,CT,Census Tract 1,6293,4590.163,1.37097546397898,5687,0,99,142,17,108,240,90.37,0,1.57,2.26,0.27,1.72,3.81,41,509,1533,1385,963,325,117,0.84,10.45,31.46,28.42,19.76,6.67,2.4,4.77,73393,19.12,74.4,22.04,36.8,24.75,2.29,0.99,14.08,7.68,45524,0.4422,57.18,1090,24.12,26.2,22.36,27.33,21.79,52.870000000000005,14,11.35,0.39505159458689576
41051000100,0.24072575985207442,-122.65856847747887,45.4769211552161,-122.668511,45.489633999999995,31,1,206.1,051,000100,1400000US41051000100,1,CT,Census Tract 1,6293,4590.163,1.37097546397898,5687,0,99,142,17,108,240,90.37,0,1.57,2.26,0.27,1.72,3.81,41,509,1533,1385,963,325,117,0.84,10.45,31.46,28.42,19.76,6.67,2.4,4.77,73393,19.12,74.4,22.04,36.8,24.75,2.29,0.99,14.08,7.68,45524,0.4422,57.18,1090,24.12,26.2,22.36,27.33,21.79,52.870000000000005,14,11.35,0.39505159458689576
41051000200,0.2062755798090041,-122.64424760652359,45.47420230201258,-122.651152,45.490328999999996,1,1,109.1,051,000200,1400000US41051000200,2,CT,Census Tract 2,6615,7284.93,0.908038956165048,5719,13,72,214,23,71,503,86.46,0.2,1.09,3.24,0.35,1.07,7.6,154,520,1621,1860,646,137,151,3.03,10.22,31.85,36.55,12.69,2.69,2.97,5.64,62260,25.06,73.22,19.81,29.52,27.89,5.64,4.66,9.78,7.53,35973,0.4751,46.5,810,35.91,26.46,21.67,15.969999999999999,27.439999999999998,48.94,12.39,11.23,0.01389588297621209
41051000200,0.2062755798090041,-122.64424760652359,45.47420230201258,-122.649367,45.490327,2,1,109.1,051,000200,1400000US41051000200,2,CT,Census Tract 2,6615,7284.93,0.908038956165048,5719,13,72,214,23,71,503,86.46,0.2,1.09,3.24,0.35,1.07,7.6,154,520,1621,1860,646,137,151,3.03,10.22,31.85,36.55,12.69,2.69,2.97,5.64,62260,25.06,73.22,19.81,29.52,27.89,5.64,4.66,9.78,7.53,35973,0.4751,46.5,810,35.91,26.46,21.67,15.969999999999999,27.439999999999998,48.94,12.39,11.23,0.01389588297621209
41051000200,0.2062755798090041,-122.64424760652359,45.47420230201258,-122.643518,45.490316,3,1,109.1,051,000200,1400000US41051000200,2,CT,Census Tract 2,6615,7284.93,0.908038956165048,5719,13,72,214,23,71,503,86.46,0.2,1.09,3.24,0.35,1.07,7.6,154,520,1621,1860,646,137,151,3.03,10.22,31.85,36.55,12.69,2.69,2.97,5.64,62260,25.06,73.22,19.81,29.52,27.89,5.64,4.66,9.78,7.53,35973,0.4751,46.5,810,35.91,26.46,21.67,15.969999999999999,27.439999999999998,48.94,12.39,11.23,0.01389588297621209
