X,Y,Date_Inventoried,Species,Condition,Neighborhood,Family,Genus,Common,Size
-122.711334731737,45.5265491792495,2016-06-15,ACMA,Fair,HILLSIDE,Sapindaceae,Acer,"maple, bigleaf",L
-122.682426891097,45.4719859628126,2016-07-15,PC,Fair,HILLSDALE,Pinaceae,Picea,spruce,L
-122.513525568732,45.5483562948119,2016-05-21,CO,Fair,ARGAY,Cornaceae,Cornus,dogwood,S
-122.677617034385,45.5509967301992,2014-08-30,MA,Good,BOISE,Rosaceae,Malus,crabapple,S
-122.585813328428,45.547466650921,2015-09-02,QU,Fair,ROSEWAY,Fagaceae,Quercus,"oak, deciduous",L
-122.672385508478,45.5254233715212,2015-07-28,QUEV,Fair,OLD TOWN/CHINATOWN,Fagaceae,Quercus,"oak, evergreen",M
-122.598690563042,45.4818790409008,2015-08-15,TI,Good,MT. SCOTT-ARLETA,Malvaceae,Tilia,linden,L
-122.700791741542,45.5356293639947,2012-08-25,PRPL,Good,NORTHWEST DISTRICT,Rosaceae,Prunus,plum,S
-122.639920203667,45.4819088594135,2016-07-25,PY,Fair,REED,Rosaceae,Pyrus,pear,M
-122.645299414403,45.5698651653944,2015-09-30,MA,Good,WOODLAWN,Rosaceae,Malus,crabapple,S
-122.619268586564,45.489597092571,2013-07-27,STJA,Good,WOODSTOCK,Styracaceae,Styrax,snowbell,S
-122.548596470262,45.5244555835871,2015-10-09,PRPL,Poor,HAZELWOOD,Rosaceae,Prunus,plum,S
-122.720086249491,45.5916510024589,2013-09-10,THPL,Fair,PORTSMOUTH,Cupressaceae,Thuja,Western redcedar,L
-122.602139049891,45.471747067991,2016-05-27,PY,Fair,BRENTWOOD-DARLINGTON,Rosaceae,Pyrus,pear,M
-122.588017901934,45.5539142092182,2015-08-20,AB,Good,ROSEWAY,Pinaceae,Abies,fir,L
-122.608492899472,45.5271454529698,2015-08-26,PRPL,Fair,NORTH TABOR,Rosaceae,Prunus,plum,S
-122.630936177664,45.4716438412168,2011-06-25,ACPL,Good,EASTMORELAND,Sapindaceae,Acer,"maple, Norway",M
-122.606865015633,45.508114739265,2015-10-01,ACRU,Fair,MT. TABOR,Sapindaceae,Acer,"maple, red",M
-122.524225446997,45.5312656749119,2014-09-09,AC,Good,HAZELWOOD,Sapindaceae,Acer,"maple, other",M
-122.695030500672,45.5403611563221,2012-07-25,QU,Fair,NORTHWEST DISTRICT,Fagaceae,Quercus,"oak, deciduous",L
-122.681924241475,45.5783795236707,2011-07-28,ACPL,Fair,KENTON,Sapindaceae,Acer,"maple, Norway",M
-122.547984309719,45.551837400207,2015-06-24,GLTR,Fair,PARKROSE,Leguminosae,Gleditsia,honey locust,L
-122.523684347684,45.4845430183207,2015-07-23,JU,Fair,POWELLHURST-GILBERT,Juglandaceae,Juglans,walnut,L
-122.756859181803,45.5953029503011,2011-08-06,ACPL,Good,ST. JOHNS,Sapindaceae,Acer,"maple, Norway",M
-122.678012991999,45.5303330803172,2016-05-09,PY,Poor,PEARL,Rosaceae,Pyrus,pear,M
-122.630749495171,45.5235619488863,2014-08-09,STJA,Good,LAURELHURST,Styracaceae,Styrax,snowbell,S
-122.689438749438,45.5788761623522,2011-06-25,ACPL,Good,KENTON,Sapindaceae,Acer,"maple, Norway",M
-122.688547616184,45.5169687047751,2016-05-03,PRPL,Poor,GOOSE HOLLOW,Rosaceae,Prunus,plum,S
-122.636301106085,45.524996147995,2014-08-16,ACPA,Good,KERNS,Sapindaceae,Acer,"maple, Japanese",S
-122.574613928475,45.5570258243725,2015-05-26,PRCH,Poor,SUMNER,Rosaceae,Prunus,cherry,S
-122.647018187986,45.5726023662956,2015-09-30,MA,Good,WOODLAWN,Rosaceae,Malus,crabapple,S
-122.493452240296,45.5122493812271,2014-09-26,UL,Good,CENTENNIAL,Ulmaceae,Ulmuys,elm,L
-122.582318160626,45.5072672055674,2015-07-25,TI,Fair,MONTAVILLA,Malvaceae,Tilia,linden,L
-122.764096632265,45.6069881001306,2014-08-28,FR,Good,ST. JOHNS,Oleaceae,Fraxinus,ash,M
-122.727219912198,45.5827412953942,2016-09-07,ROPS,Fair,UNIVERSITY PARK,Leguminosae,Robinia,black locust,M
-122.684809000448,45.52725846234,2016-05-09,CEJA,Poor,PEARL,Cercidiphyllaceae,Cercidiphyllum,katsura,M
-122.70566302685,45.5451411169992,2016-09-19,AC,Fair,NORTHWEST INDUSTRIAL,Sapindaceae,Acer,"maple, other",M
-122.551657184945,45.4696223734914,2016-07-14,ACPL,Good,LENTS,Sapindaceae,Acer,"maple, Norway",M
-122.672394772804,45.5331851706134,2014-10-08,CH,Fair,ELIOT,Cupressaceae,Chamaecyparis,false cypress,M
-122.680441915255,45.552183301541,2011-09-01,CA,Fair,OVERLOOK,Betulaceae,Carpinus,hornbeam,M
-122.656471846932,45.5748262433705,2015-06-27,BE,Poor,WOODLAWN,Betulaceae,Betula,birch,M
-122.609306482065,45.4784880339871,2013-09-15,CR,Poor,WOODSTOCK,Rosaceae,Crataegus,hawthorn,S
-122.664157395023,45.5650982377758,2015-09-24,CR,Fair,KING,Rosaceae,Crataegus,hawthorn,S
-122.630756792186,45.5580072468484,2010-11-02,CR,Poor,CONCORDIA,Rosaceae,Crataegus,hawthorn,S
-122.679060335992,45.4909706703103,2016-08-10,FA,Fair,HOMESTEAD,Fagaceae,Fagus,beech,L
-122.698349306726,45.5298555504468,2012-08-31,ACRU,Good,NORTHWEST DISTRICT,Sapindaceae,Acer,"maple, red",M
-122.659922575975,45.5349918375008,2014-09-17,ACPL,Fair,LLOYD DISTRICT,Sapindaceae,Acer,"maple, Norway",M
-122.727476495297,45.5757605220357,2016-09-02,AC,Fair,UNIVERSITY PARK,Sapindaceae,Acer,"maple, other",M
-122.605786383319,45.5397773158714,NA,ACPL,Fair,ROSE CITY PARK,Sapindaceae,Acer,"maple, Norway",M
-122.640547848471,45.559133540112,2010-10-09,AC,Good,CONCORDIA,Sapindaceae,Acer,"maple, other",M
-122.68737999047,45.5830457626089,2011-06-25,ACRU,Fair,KENTON,Sapindaceae,Acer,"maple, red",M
-122.67806287904,45.4857403720306,NA,CO,Good,SOUTH PORTLAND,Cornaceae,Cornus,dogwood,S
-122.590839959399,45.522112154691,2015-08-27,PRPL,Fair,MT. TABOR,Rosaceae,Prunus,plum,S
-122.591987486207,45.5013849027451,2014-06-21,PRPL,Fair,SOUTH TABOR,Rosaceae,Prunus,plum,S
-122.649778347036,45.4708034182856,2011-08-20,ACRU,Good,SELLWOOD-MORELAND,Sapindaceae,Acer,"maple, red",M
-122.764540389235,45.603115817789,2014-08-28,PY,Good,ST. JOHNS,Rosaceae,Pyrus,pear,M
-122.709938771345,45.5365262752987,2012-08-25,LAIN,Good,NORTHWEST DISTRICT,Lythraceae,Lagerstroemia,crape myrtle,S
-122.652814106521,45.5534560458022,2015-08-22,PRPL,Fair,SABIN,Rosaceae,Prunus,plum,S
-122.583250349583,45.5341655614775,2015-07-14,BE,Fair,MONTAVILLA,Betulaceae,Betula,birch,M
-122.743853324611,45.5919643167874,2011-09-30,PRPL,Good,ST. JOHNS,Rosaceae,Prunus,plum,S
-122.60058257493,45.5405934506845,NA,ALJU,Fair,ROSE CITY PARK,Leguminosae,Albizia,mimosa tree,M
-122.653600407279,45.5139200312663,2015-08-29,ACRU,Fair,BUCKMAN,Sapindaceae,Acer,"maple, red",M
