OBJECTID,FIPS,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,sumOverCount
47,41051003702,47,1015372,9138348,0,1,1,0.730520439799404,0.443689448640251,741750,2,1,0,1,0.730520439799404
48,41051003801,48,1479713,13317417,0,1,1,0.824380808981201,0.380495848551205,1219847,2,1,0,1,0.824380808981201
49,41051003802,49,1326114,11935026,0,1,1,0.853080504391025,0.354025645143087,1131282,2,1,0,1,0.853080504391025
50,41051003803,50,1472345,13251105,0,1,1,0.796510328761262,0.402593622574785,1172738,2,1,0,1,0.796510328761262
51,41051003901,51,3016277,27146493,0,1,1,0.754484087502574,0.43039266862713,2275733,2,1,0,1,0.754484087502574
52,41051003902,52,1353053,12177477,0,1,1,0.775109326833465,0.417510309201148,1048764,2,1,0,1,0.775109326833465
53,41051004001,53,2197978,19781802,0,1,1,0.771485883844151,0.419875475436897,1695709,2,1,0,1,0.771485883844151
54,41051004002,54,3766453,33898077,0,1,1,0.822671356844225,0.381946587198141,3098553,2,1,0,1,0.822671356844225
55,41051004101,55,9372570,84353130,0,1,1,0.841779789321392,0.364947360055426,7889640,2,1,0,1,0.841779789321392
56,41051004102,56,2589833,23308497,0,1,1,0.776454698044237,0.416620690711911,2010888,2,1,0,1,0.776454698044237
57,41051004200,57,2768318,24914862,0,1,1,0.862085930879328,0.344809771699194,2386528,2,1,0,1,0.862085930879328
58,4105198e4,58,6786560,61079040,0,1,1,0.935842459213504,0.245033366598765,6351151,2,1,0,1,0.935842459213504
59,41051004500,59,2036070,18324630,0,1,1,0.823803700265708,0.380987091243569,1677322,2,1,0,1,0.823803700265708
60,41051004601,60,4262094,38358846,0,1,1,0.352791139754309,0.477838415643996,1503629,2,0,1,0,0.352791139754309
61,41051004602,61,1694229,15248061,0,1,1,0.43256549144183,0.49543171785375,732865,2,0,1,0,0.43256549144183
62,41051004700,62,842921,7586289,0,1,1,0.730354327392484,0.443775713453943,615631,2,1,0,1,0.730354327392484
63,41051004800,63,355245,3197205,0,1,1,0.752213261270391,0.43172731074065,267220,2,1,0,1,0.752213261270391
64,41051004900,64,652473,5872257,0,1,1,0.793669623110841,0.404670424496202,517848,2,1,0,1,0.793669623110841
65,41051005e3,65,887303,7985727,0,1,1,0.919973222225102,0.271334650595652,816295,2,1,0,1,0.919973222225102
66,41051006300,66,6653648,59882832,0,1,1,0.319034159907467,0.466102311429158,2122741,2,0,1,0,0.319034159907467
67,41051006402,67,5970198,53731782,0,1,1,0.378841036762935,0.485098449417558,2261756,2,0,1,0,0.378841036762935
68,41051006801,68,1115284,10037556,0,1,1,0.509544654097073,0.499908891277368,568287,2,1,0,1,0.509544654097073
69,41051007400,69,1737869,15640821,0,1,1,0.762540789898433,0.425525949431415,1325196,2,1,0,1,0.762540789898433
70,41051007500,70,2582091,23238819,0,1,1,0.790779643320084,0.40675201171063,2041865,2,1,0,1,0.790779643320084
71,41051007600,71,1911571,17204139,0,1,1,0.826092779185288,0.379029681374975,1579135,2,1,0,1,0.826092779185288
72,41051007700,72,1314982,11834838,0,1,1,0.856362292411607,0.350721993246994,1126101,2,1,0,1,0.856362292411607
73,41051007900,73,2411766,21705894,0,1,1,0.805430128793589,0.39586921631409,1942509,2,1,0,1,0.805430128793589
74,41051008001,74,1718146,15463314,0,1,1,0.766399363034341,0.423120998503853,1316786,2,1,0,1,0.766399363034341
75,41051008002,75,1589376,14304384,0,1,1,0.795893482725296,0.403047201802339,1264974,2,1,0,1,0.795893482725296
76,41051008100,76,3357607,30218463,0,1,1,0.823102882499351,0.381581612922597,2763656,2,1,0,1,0.823102882499351
77,41051008201,77,2521189,22690701,0,1,1,0.853861412214634,0.353245100384231,2152746,2,1,0,1,0.853861412214634
78,41051008202,78,2837493,25537437,0,1,1,0.788840007711032,0.408131657612456,2238328,2,1,0,1,0.788840007711032
79,41051006802,79,2561001,23049009,0,1,1,0.499394182196727,0.499999632984655,1278949,2,0,1,0,0.499394182196727
